Top queries,Last 28 days Clicks,Same period last year Clicks,Last 28 days Impressions,Same period last year Impressions,Last 28 days CTR,Same period last year CTR,Last 28 days Position,Same period last year Position
top russian general,0,132,0,657,0%,20.09%,0,1.77
south korea plane crash video,0,131,0,2176,0%,6.02%,0,2.34
iran nuclear,0,131,0,1288,0%,10.17%,0,6.63
ukrain war,0,131,0,824,0%,15.9%,0,1.77
2024 estlink 2 incident,0,131,0,289,0%,45.33%,0,1.29
cecilia sala,0,130,0,11423,0%,1.14%,0,4.17
lara trump,0,130,0,2940,0%,4.42%,0,6.67
155th mechanized brigade,0,130,0,719,0%,18.08%,0,2.36
turkey news,21,129,479,1493,4.38%,8.64%,1.35,5.74
ceasfire,0,128,0,2006,0%,6.38%,0,1.7
north korea ukraine,0,128,0,1420,0%,9.01%,0,5.57
latest news from ukraine,0,128,0,810,0%,15.8%,0,2.48
unmanned aerial vehicles,0,128,0,430,0%,29.77%,0,1
lex fridman,0,127,0,8935,0%,1.42%,0,6.49
asma assad divorce,0,127,0,1809,0%,7.02%,0,5.45
rape telegram channel,0,127,0,844,0%,15.05%,0,2.62
korea plane crash,0,126,0,2635,0%,4.78%,0,3.75
german news,24,126,363,1875,6.61%,6.72%,2.02,3.39
migrants,0,126,0,1861,0%,6.77%,0,6.98
trump inaugural portrait,0,126,0,1493,0%,8.44%,0,4.4
azerbaijan crash,0,126,0,961,0%,13.11%,0,2.57
ann coulter twitter,0,126,0,928,0%,13.58%,0,1
trudeau resignation,0,124,0,2632,0%,4.71%,0,3.23
hans weidel,0,124,0,2387,0%,5.19%,0,5.23
fake brad pitt,0,124,0,941,0%,13.18%,0,3.04
rape chat news,0,124,0,232,0%,53.45%,0,2.29
meloni musk,0,123,0,1345,0%,9.14%,0,4.2
rape chat 70000,0,123,0,254,0%,48.43%,0,2.69
telegram rape channel,0,122,0,709,0%,17.21%,0,2.31
billy crystal,0,121,0,8269,0%,1.46%,0,4.18
trump ceasefire,0,121,0,1528,0%,7.92%,0,1.83
chagos deal,0,121,0,1055,0%,11.47%,0,2.1
korea,0,120,0,3259,0%,3.68%,0,3.1
pakistan afghanistan news,0,120,0,3067,0%,3.91%,0,3.82
dawkins,0,120,0,2487,0%,4.83%,0,5.48
south korean plane crash,0,120,0,1685,0%,7.12%,0,5.42
telegram child girl group link,0,119,0,2025,0%,5.88%,0,9.37
russia war news,4,119,67,1472,5.97%,8.08%,3.28,4.53
houthis,15,118,706,2391,2.12%,4.94%,8.08,5.66
telegram sex,0,118,0,1534,0%,7.69%,0,5.87
telegram sex group link,0,118,0,838,0%,14.08%,0,7.1
dolly parton age,0,117,0,6601,0%,1.77%,0,5.16
isaac steidl,0,117,0,3842,0%,3.05%,0,6.06
russia shoots down plane,0,116,0,2248,0%,5.16%,0,3.11
warship,0,115,0,6586,0%,1.75%,0,4.32
blanca ojanguren garcía,0,115,0,4030,0%,2.85%,0,5.17
